"id";"title";"legal_areas";"revisions";"nodes";"log_nodes";"log_section_nodes";"text_nodes";"nontext_nodes";"above_section_nodes";"section_nodes";"below_section_nodes";"mean_depth";"mean_leaf_depth";"tokens";"tokens_per_section";"tokens_per_text_node";"entropy_lemma";"entropy_word";"num_words";"num_sentences";"avg_sentence_length";"avg_syllables_per_word";"avg_word_length";"citations";"citations_internal";"citations_out";"citations_in";"citations_external";"net_flow";"net_flow_per_section";"flesch";"bijlage_cits";"unkown_doc";"empty_doc";"bad_doc"
"BWBR0004338";"Wet Rietkerk-uitkering";"Migratierecht";3;75;1.8750612633917;1.1760912590556813;57;18;8;15;51;3.013333333333333;3.489795918367347;1461;97.4;25.63157894736842;4.958701980794697;5.025409479495727;1368;87;18.590643274853804;1.9711424008191731;5.855658603324457;13;7;6;1;7;5;0.3333333333333333;21.206849966721364;0;0;0;0
"BWBR0004364";"Scheepvaartverkeerswet";"Vervoersrecht";27;357;2.552668216112193;1.8325089127062364;299;58;13;68;275;3.350140056022409;3.6125461254612548;10856;159.64705882352942;36.30769230769231;6.07951788603958;6.283739898309564;10680;459;26.841415830546264;1.9018863065613094;5.695006400473296;190;100;33;39;72;-6;-0.08823529411764706;18.69138139690881;0;0;0;0
"BWBR0004365";"Loodsenwet";"Vervoersrecht";30;497;2.6963563887333324;1.9242792860618816;392;105;37;84;375;3.6639839034205233;4.053221288515406;11547;137.46428571428572;29.456632653061224;6.115974291764078;6.300892600150036;11390;556;22.818239795918366;1.9725074684710755;5.824246624192229;269;139;68;10;78;58;0.6904761904761905;16.800354774489875;0;7;4;11
"BWBR0004412";"Wet tot verlaging tarief en op nihil stellen vermogensaftrek in Wet op de vennootschapsbelasting 1969";"Belastingrecht";1;6;0.7781512503836436;0.47712125471966244;4;2;0;3;2;1.1666666666666667;1.5;181;60.333333333333336;45.25;3.821224360425921;3.7580862071322563;167;18;12.064102564102564;1.92005772005772;5.392947330447331;4;1;3;0;3;3;1.0;32.1530527805528;0;0;0;0
"BWBR0004421";"Personeelswet PTT Nederland NV";"Arbeidsrecht en sociaal-zekerheidsrecht";4;40;1.6020599913279625;1.0;33;7;0;10;29;1.7;1.90625;1338;133.8;40.54545454545455;4.993805811207484;5.052028491818891;1311;60;24.45555555555556;1.8834498305675949;5.677550328875492;18;15;3;0;3;3;0.3;22.672755445092605;0;0;0;0
"BWBR0004434";"Wet strekkende tot voltooiing van de provinciale indeling van het IJsselmeer";"Staats- en bestuursrecht";1;10;1.0;0.7781512503836436;9;1;0;6;3;1.2;1.375;309;51.5;34.333333333333336;4.085733035985635;4.168392203900026;305;20;21.52777777777778;2.0454530614113535;5.778315185844789;2;2;0;0;0;0;0.0;11.938976560155083;0;0;0;0
"BWBR0004443";"Leningwet 1989";"Staats- en bestuursrecht";1;9;0.9542425094393249;0.7781512503836436;7;2;0;6;2;1.1111111111111112;1.2857142857142858;227;37.833333333333336;32.42857142857143;4.19582282405027;4.1941701207153725;221;10;28.357142857142858;1.8650869027298533;5.487841467467953;0;0;0;0;0;0;0.0;20.26614802905442;0;0;0;0
"BWBR0004446";"Intrekkingswet Beleggingswet";"Bank- en effectenrecht, financiering";1;11;1.041392685158225;0.7781512503836436;8;3;0;6;4;1.2727272727272727;1.5;223;37.166666666666664;27.875;4.115026919587844;4.206012380741955;216;12;23.291666666666668;2.192273351648352;6.249544534412955;0;0;0;1;1;-1;-0.16666666666666666;-2.2723672161172033;0;0;0;0
"BWBR0004447";"Wet opneming buitenlandse kinderen ter adoptie";"Personen- en familierecht";9;178;2.250420002308894;1.662757831681574;140;38;9;46;122;2.769662921348315;3.078125;4694;102.04347826086956;33.52857142857143;5.727778853055718;5.882734665089641;4637;242;21.909706959706966;1.8947943497368414;5.884626117151507;62;38;12;30;42;-18;-0.391304347826087;24.297045448160674;0;0;0;0
"BWBR0004528";"Wet machtiging ex artikel 40 Comptabiliteitswet 1976";"Staats- en bestuursrecht";1;5;0.6989700043360189;0.3010299956639812;3;2;0;2;2;1.2;1.6666666666666667;128;64.0;42.666666666666664;3.5314044331336207;3.49957872471888;128;4;38.833333333333336;1.6433982683982684;4.9652007883715195;0;0;0;0;0;0;0.0;28.387673160173193;0;0;0;0
"BWBR0004536";"Wet vereenvoudiging tariefstructuur en aftrekposten in de loon- en inkomstenbelasting";"Belastingrecht;Belastingrecht";1;20;1.3010299956639813;1.0791812460476249;17;3;0;12;7;1.4;1.5;430;35.833333333333336;25.294117647058822;4.28657421223507;4.383609927633618;398;40;16.27450980392157;2.467517263885982;6.48083681223095;4;0;4;0;4;4;0.3333333333333333;-18.43558797573445;0;0;0;0
"BWBR0004540";"Wet houdende regelen met betrekking tot de privatisering van het Waarborgfonds Motorverkeer";"Vervoersrecht";1;28;1.4471580313422192;0.9542425094393249;20;8;4;9;14;2.2857142857142856;2.7;780;86.66666666666667;39.0;4.654001120036919;4.728348927461474;749;40;23.82916666666667;2.0479840181108226;6.083681568854763;18;11;7;0;7;7;0.7777777777777778;9.388947901157763;0;1;0;1
"BWBR0004541";"Kadasterwet";"Ruimtelijke ordening en milieu";50;852;2.9304395947667;2.187520720836463;691;161;53;154;644;4.428403755868545;4.774877650897227;25841;167.7987012987013;37.39652677279305;6.0477312747296486;6.253172242070927;25359;1033;26.41138929088278;1.8956418134565773;5.663203107709806;579;354;139;62;201;77;0.5;19.656142451327554;0;1;0;1
"BWBR0004558";"Rijkswet houdende machtiging tot deelneming van Nederland in algemene kapitaalsverhoging van Internationale Bank voor Herstel en Ontwikkeling 1988";"Internationaal publiekrecht";1;3;0.47712125471966244;0.3010299956639812;2;1;0;2;0;0.6666666666666666;1.0;101;50.5;50.5;3.652629782979221;3.652629782979221;94;3;30.75;1.7421981004070557;5.104797979797979;0;0;0;0;0;0;0.0;28.23379070556311;0;0;0;0
"BWBR0004579";"Uitvoeringswet Verordening tot instelling van Europese economische samenwerkingsverbanden";"Financieel en economisch recht";3;17;1.2304489213782739;1.0;14;3;0;10;6;1.2941176470588236;1.4285714285714286;689;68.9;49.214285714285715;4.765676379359829;4.865384241677308;658;37;20.541666666666664;2.0771761244321802;6.019696061971195;17;2;15;3;18;12;1.2;10.256108206370897;0;0;0;0
"BWBR0004581";"Wet administratiefrechtelijke handhaving verkeersvoorschriften";"Strafrecht";39;220;2.342422680822206;1.7160033436347992;172;48;11;52;156;2.7;2.9760479041916166;8401;161.55769230769232;48.843023255813954;5.84574683066113;6.039704814253909;8310;364;25.694815891472867;1.894881253983553;5.6323334445315645;148;77;41;36;77;5;0.09615384615384616;20.447807783146487;0;1;0;1
"BWBR0004586";"Wet bevordering doorstroming onderwijspersoneel II";"Onderwijsrecht";1;6;0.7781512503836436;0.47712125471966244;5;1;0;3;2;1.1666666666666667;1.5;153;51.0;30.6;3.5529831328488344;3.6715525771543516;142;6;30.1;1.8607711388208337;5.398677610579115;1;1;0;1;1;-1;-0.3333333333333333;18.862261655757493;0;0;0;0
"BWBR0004627";"Kieswet";"Staats- en bestuursrecht";48;1532;3.1852587652965854;2.617000341120899;1200;332;93;414;1024;4.429503916449086;4.737821080602303;37293;90.07971014492753;31.0775;6.190296537417238;6.409103624913873;36610;1854;22.215972222222227;1.8661065837150381;5.580588374921229;626;468;97;117;214;-20;-0.04830917874396135;26.413171212152236;0;0;1;1
"BWBR0004663";"Leningwet 1990";"Staats- en bestuursrecht";1;9;0.9542425094393249;0.7781512503836436;7;2;0;6;2;1.1111111111111112;1.2857142857142858;227;37.833333333333336;32.42857142857143;4.19582282405027;4.1941701207153725;221;11;28.142857142857142;1.8650869027298533;5.487158757107823;0;0;0;0;0;0;0.0;20.48364802905442;0;0;0;0
"BWBR0004665";"Wet commissies standaardregelingen";"Contracten, schade en aansprakelijkheid";2;38;1.5797835966168101;1.146128035678238;30;8;0;14;23;1.6842105263157894;1.8928571428571428;805;57.5;26.833333333333332;4.713906543560012;4.923577985992544;799;54;16.205555555555556;1.9321073290593422;5.704292983992698;5;3;2;0;2;2;0.14285714285714285;26.93008107269077;0;0;0;0
"BWBR0004670";"Rijkswet pensioenen en uitkeringen aan Gouverneurs van Aruba, Curaçao en Sint Maarten";"Arbeidsrecht en sociaal-zekerheidsrecht";5;145;2.161368002234975;1.6334684555795866;107;38;12;43;89;2.5586206896551724;2.911764705882353;3495;81.27906976744185;32.66355140186916;5.452076920183551;5.5673897748445365;3434;166;23.291277258566982;1.9531838123730771;5.792531364417914;53;40;1;0;1;1;0.023255813953488372;17.95500305579222;0;2;0;2
"BWBR0004712";"Uitvoeringswet ex artikel VI van de Grondwet";"Privacy";1;3;0.47712125471966244;0.3010299956639812;2;1;0;2;0;0.6666666666666666;1.0;56;28.0;28.0;3.204777524132256;3.151458510243029;53;2;28.0;1.656158357771261;5.114369501466276;1;0;1;0;1;1;0.5;38.304002932551356;0;0;0;0
"BWBR0004741";"Wet overbrenging in beheer en onderhoud bij de gemeente Dordrecht van de Krabbegeul en het afgedamde gedeelte van het Mallegat met bijbehorende werken te Dordrecht";"Ruimtelijke ordening en milieu";1;9;0.9542425094393249;0.47712125471966244;7;2;0;3;5;1.6666666666666667;2.0;121;40.333333333333336;17.285714285714285;3.359766215438058;3.318111760281109;119;10;13.428571428571429;1.8770184389545295;5.5989527389903335;2;2;0;0;0;0;0.0;34.409240064446834;0;0;0;0
"BWBR0004746";"Uitvoeringswet internationale kinderontvoering";"Personen- en familierecht";9;57;1.7558748556724915;1.2787536009528289;42;15;4;19;33;2.526315789473684;2.875;1933;101.73684210526316;46.023809523809526;5.358413367500872;5.497046893523028;1904;81;26.02103174603175;1.8536731908018702;5.465280085597302;12;6;6;1;7;5;0.2631578947368421;23.60290083593958;0;0;0;0
"BWBR0004770";"Invorderingswet 1990";"Belastingrecht";165;719;2.8567288903828825;2.08278537031645;616;103;19;121;578;3.674547983310153;3.94;25455;210.37190082644628;41.32305194805195;6.2347659041402155;6.404585988225262;24985;953;28.135281385281385;1.988690626677868;5.8218302082500815;517;195;277;308;585;-31;-0.256198347107438;10.034462376991797;0;1;2;3
"BWBR0004771";"Invoeringswet Invorderingswet 1990";"Belastingrecht";1;95;1.9777236052888478;1.8129133566428555;91;4;0;65;29;1.431578947368421;1.441860465116279;1716;26.4;18.857142857142858;5.010848078841862;5.090718223115607;1558;170;12.610989010989012;2.152905267424103;6.382224057514894;25;0;25;0;25;25;0.38461538461538464;11.89906052976707;0;0;0;0
